,avg_price,total_price,location,followInfo
0,26564.5,163.0,西湖,707.0
1,25736.5,159.0,西湖,199.0
2,40568,360.0,西湖,14.0
3,30147.1,205.0,西湖,103.0
4,28293.3,125.0,西湖,70.0
5,52247.2,465.0,西湖,42.0
6,37695.7,195.0,西湖,380.0
7,37133.6,285.0,西湖,9.0
8,29535.9,182.0,西湖,291.0
9,40553,132.0,西湖,68.0
10,31128.4,280.0,西湖,113.0
11,32637.1,150.0,西湖,63.0
12,33696.5,300.0,西湖,108.0
13,28933.9,260.0,西湖,163.0
14,49784.8,590.0,西湖,369.0
15,42899.7,590.0,西湖,21.0
16,27084.7,165.0,西湖,310.0
17,42524.5,378.0,西湖,57.0
18,39739.9,220.0,西湖,42.0
19,35074.5,280.0,西湖,34.0
20,53370.8,475.0,西湖,14.0
21,34659.1,305.0,西湖,16.0
22,26777,165.0,西湖,7.0
23,65629.1,350.0,西湖,122.0
24,23166,198.0,西湖,100.0
25,42276.8,205.0,西湖,36.0
26,35367.2,313.0,西湖,20.0
27,39753.6,355.0,西湖,35.0
28,47396,425.0,西湖,32.0
29,36129.9,385.0,西湖,25.0
30,40674.6,205.0,西湖,31.0
31,32589.3,292.0,西湖,10.0
32,27040.5,163.0,西湖,24.0
33,46812.3,420.0,西湖,19.0
34,41815.7,187.0,西湖,155.0
35,44572.3,395.0,西湖,13.0
36,65168.5,580.0,西湖,15.0
37,50240.3,575.0,西湖,113.0
38,47816.1,416.0,西湖,37.0
39,32723.9,213.0,西湖,25.0
40,30985,190.0,西湖,24.0
41,36516.9,325.0,西湖,7.0
42,26375.4,163.0,西湖,22.0
43,55642.1,500.0,西湖,29.0
44,35128.8,330.0,西湖,9.0
45,51484.7,430.0,西湖,5.0
46,37423.1,298.0,西湖,44.0
47,37649.7,330.0,西湖,70.0
48,32628.3,290.0,西湖,14.0
49,31311.6,270.0,西湖,17.0
50,29059.8,255.0,西湖,191.0
51,47431.3,445.0,西湖,39.0
52,46915.6,235.0,西湖,64.0
53,40884,148.0,西湖,77.0
54,42841,380.0,西湖,17.0
55,62111.8,390.0,西湖,10.0
56,32919.5,175.0,西湖,25.0
57,51652.9,275.0,西湖,19.0
58,45510.2,223.0,西湖,22.0
59,43673,390.0,西湖,9.0
60,69231.6,610.0,西湖,35.0
61,36081.9,610.0,西湖,47.0
62,56631.1,430.0,西湖,7.0
63,46536.8,215.0,西湖,53.0
64,22518,225.0,西湖,18.0
65,46639.7,415.0,西湖,18.0
66,42283.3,320.0,西湖,58.0
67,44711.7,435.0,西湖,34.0
68,41107.9,282.0,西湖,21.0
69,32073.3,280.0,西湖,72.0
70,59137.2,610.0,西湖,21.0
71,47605.6,169.0,西湖,80.0
72,42913.4,545.0,西湖,32.0
73,40187.5,360.0,西湖,14.0
74,20503.6,285.0,西湖,99.0
75,81361.8,282.0,西湖,13.0
76,42012.1,375.0,西湖,7.0
77,47752.8,425.0,西湖,11.0
78,39535.8,310.0,西湖,58.0
79,48936.9,412.0,西湖,39.0
80,34667.6,485.0,西湖,6.0
81,35971.2,115.0,西湖,6.0
82,56635.5,539.0,西湖,6.0
83,27530.4,170.0,西湖,31.0
84,22857.1,160.0,西湖,5.0
85,50829.3,475.0,西湖,12.0
86,25884.9,215.0,西湖,13.0
87,41135.8,268.0,西湖,5.0
88,43570.5,359.5,西湖,17.0
89,40117.9,245.0,西湖,19.0
90,53092.8,515.0,西湖,3.0
91,42996.1,252.0,西湖,7.0
92,41913,468.0,西湖,4.0
93,28103.4,175.0,西湖,9.0
94,59193.2,518.0,西湖,17.0
95,44626.3,240.0,西湖,120.0
96,38172.5,320.0,西湖,15.0
97,35918.7,295.0,西湖,26.0
98,33344.2,408.0,西湖,20.0
99,44712,260.0,西湖,11.0
100,41976.4,288.0,西湖,1.0
101,36614.1,295.0,西湖,93.0
102,30956.5,178.0,西湖,8.0
103,29468,185.0,西湖,11.0
104,29113.1,258.0,西湖,39.0
105,65789.5,580.0,西湖,5.0
106,42313.1,300.0,西湖,11.0
107,49980,375.0,西湖,13.0
108,41937.3,226.0,西湖,15.0
109,46674.4,560.0,西湖,10.0
110,33012.8,230.0,西湖,24.0
111,42372.9,165.0,西湖,13.0
112,59979,513.0,西湖,17.0
113,45780.6,217.0,西湖,10.0
114,39230.8,306.0,西湖,16.0
115,38061,318.0,西湖,18.0
116,45858.3,506.0,西湖,23.0
117,40010.9,295.0,西湖,74.0
118,51825.7,440.0,西湖,29.0
119,60024.6,585.0,西湖,10.0
120,40000,270.0,西湖,9.0
121,52651.5,417.0,西湖,20.0
122,66950.7,440.0,西湖,8.0
123,41348.3,368.0,西湖,15.0
124,40049.5,550.0,西湖,7.0
125,37015.8,323.0,西湖,26.0
126,46319.4,353.0,西湖,30.0
127,48523.2,253.0,西湖,23.0
128,29709.2,188.0,西湖,7.0
129,69697,345.0,西湖,16.0
130,40714.8,262.0,西湖,3.0
131,32685.1,279.0,西湖,31.0
132,28575.8,370.0,西湖,7.0
133,36552.9,330.0,西湖,9.0
134,49649.5,425.0,西湖,21.0
135,50485.1,510.0,西湖,16.0
136,39487.9,293.0,西湖,9.0
137,45505.6,405.0,西湖,1.0
138,26860.5,170.0,西湖,4.0
139,45454.5,210.0,西湖,13.0
140,56487,785.0,西湖,7.0
141,36563.1,200.0,西湖,45.0
142,63635.4,620.0,西湖,7.0
143,63791,420.0,西湖,12.0
144,57326.8,365.0,西湖,19.0
145,78444.2,480.0,西湖,10.0
146,42484.3,210.0,西湖,5.0
147,57812.5,740.0,西湖,12.0
148,58870.5,295.0,西湖,11.0
149,50069.2,470.0,西湖,31.0
150,45760.4,238.0,西湖,19.0
151,41797.5,173.0,西湖,10.0
152,40668.7,326.0,西湖,2.0
153,51079.1,710.0,西湖,4.0
154,81008.7,575.0,西湖,5.0
155,28439,178.0,西湖,15.0
156,38522.4,365.0,西湖,33.0
157,42378.1,273.0,西湖,22.0
158,60219.6,510.0,西湖,30.0
159,33483.1,298.0,西湖,9.0
160,35696.3,355.0,西湖,8.0
161,35614.3,280.0,西湖,1.0
162,31451.6,195.0,西湖,6.0
163,47210.9,325.0,西湖,4.0
164,35509,315.0,西湖,1.0
165,41261.3,458.0,西湖,9.0
166,47094,205.0,西湖,12.0
167,40956.5,310.0,西湖,5.0
168,29457.4,380.0,西湖,13.0
169,69233.4,615.0,西湖,10.0
170,68349.5,880.0,西湖,3.0
171,51263,345.0,西湖,23.0
172,44861.9,320.0,西湖,4.0
173,56424.5,487.0,西湖,7.0
174,57941.5,398.0,西湖,2.0
175,86435.3,548.0,西湖,3.0
176,64023.6,520.0,西湖,1.0
177,33146.1,295.0,西湖,3.0
178,57472.9,398.0,西湖,8.0
179,46068.4,365.0,西湖,5.0
180,44155.8,850.0,西湖,7.0
181,35702.1,315.0,西湖,45.0
182,47343.5,540.0,西湖,72.0
183,40956.9,428.0,西湖,9.0
184,75918.1,430.0,西湖,27.0
185,41768.4,308.0,西湖,27.0
186,40902.7,290.0,西湖,312.0
187,34382,306.0,西湖,216.0
188,28594.8,420.0,西湖,418.0
189,31470.1,277.0,西湖,320.0
190,35955.1,320.0,西湖,2.0
191,27882.6,170.0,西湖,74.0
192,44921,620.0,西湖,7.0
193,46005.4,410.0,西湖,42.0
194,39497.5,349.0,西湖,25.0
195,49213.5,438.0,西湖,6.0
196,25284.5,160.0,西湖,73.0
197,38242.4,255.0,西湖,48.0
198,58830.1,525.0,西湖,4.0
199,43463.3,380.0,西湖,2.0
200,18719.2,76.0,西湖,38.0
201,39240.5,310.0,西湖,14.0
202,34387.9,225.0,西湖,174.0
203,55056.2,490.0,西湖,143.0
204,43637.8,535.0,西湖,33.0
205,38576.7,335.0,西湖,48.0
206,68609,365.0,西湖,93.0
207,41881,228.0,西湖,31.0
208,29885.1,260.0,西湖,74.0
209,28248.6,130.0,西湖,72.0
210,59259.3,320.0,西湖,9.0
211,22878,207.0,西湖,157.0
212,25282.9,210.0,西湖,256.0
213,39961.9,210.0,西湖,19.0
214,49169.2,435.0,西湖,26.0
215,37788,410.0,西湖,89.0
216,35722.3,320.0,西湖,72.0
217,38906.9,168.0,西湖,61.0
218,45945.9,170.0,西湖,91.0
219,45184.3,570.0,西湖,14.0
220,43794.3,500.0,西湖,15.0
221,54494.4,485.0,西湖,24.0
222,41343.7,208.0,西湖,36.0
223,30894.3,190.0,西湖,355.0
224,44392,395.0,西湖,30.0
225,24197.4,202.0,西湖,156.0
226,30834.1,190.0,西湖,91.0
227,37227.9,325.0,西湖,1.0
228,34813.2,425.0,西湖,25.0
229,39387.9,278.0,西湖,8.0
230,29628.6,205.0,西湖,44.0
231,51088,540.0,西湖,8.0
232,38027.5,155.0,西湖,93.0
233,39803.2,178.0,西湖,87.0
234,39235.8,345.0,西湖,66.0
235,55424.2,750.0,西湖,25.0
236,68516.6,600.0,西湖,54.0
237,34009.3,270.0,西湖,177.0
238,19930.2,200.0,西湖,87.0
239,33589.9,240.0,西湖,17.0
240,74850.3,450.0,西湖,16.0
241,32668.7,290.0,西湖,5.0
242,34269.7,305.0,西湖,5.0
243,24994.2,215.0,西湖,40.0
244,36369.7,325.0,西湖,262.0
245,27640.7,700.0,西湖,4.0
246,35381.8,228.0,西湖,49.0
247,21382.4,86.0,西湖,17.0
248,37071.9,315.0,西湖,24.0
249,62096.4,2000.0,西湖,72.0
250,53262.3,280.0,西湖,47.0
251,42458.1,380.0,西湖,29.0
252,30701.8,350.0,西湖,213.0
253,36515.4,280.0,西湖,215.0
254,41307.2,249.0,西湖,26.0
255,29714.3,208.0,西湖,22.0
256,40835.7,430.0,西湖,33.0
257,38042.4,185.0,西湖,35.0
258,40135.1,202.0,西湖,26.0
259,43120.6,325.0,西湖,115.0
260,61797.8,550.0,西湖,12.0
261,37141.2,330.0,西湖,8.0
262,41224.6,750.0,西湖,68.0
263,61099.8,270.0,西湖,13.0
264,28171.3,175.0,西湖,6.0
265,68341.7,680.0,西湖,19.0
266,37002.2,236.0,西湖,12.0
267,32400.1,449.0,西湖,7.0
268,43588.6,670.0,西湖,10.0
269,33883,300.0,西湖,18.0
270,39047.6,205.0,西湖,37.0
271,41389.5,280.0,西湖,70.0
272,29825.6,248.0,西湖,117.0
273,22648.9,230.0,西湖,13.0
274,53386.5,495.0,西湖,4.0
275,32927.8,203.0,西湖,74.0
276,44382,395.0,西湖,18.0
277,35815.3,228.0,西湖,14.0
278,38455.6,250.0,西湖,192.0
279,30201.3,900.0,西湖,28.0
280,39030.4,190.0,西湖,15.0
281,41979.7,285.0,西湖,5.0
282,38979.2,695.0,西湖,107.0
283,36627.9,315.0,西湖,2.0
284,53700.4,1100.0,西湖,7.0
285,50289.2,600.0,西湖,72.0
286,26100.7,380.0,西湖,18.0
287,45961.4,305.0,西湖,25.0
288,48684.2,1850.0,西湖,8.0
289,45592.7,300.0,西湖,21.0
290,28834.4,235.0,西湖,3.0
291,56958.3,485.0,西湖,12.0
292,75065.8,1340.0,西湖,8.0
293,50079.1,380.0,西湖,7.0
294,42909.2,600.0,西湖,23.0
295,28884.9,179.0,西湖,24.0
296,29619,185.0,西湖,15.0
297,54263.6,490.0,西湖,222.0
298,48755.5,380.0,西湖,316.0
299,34532.4,480.0,西湖,25.0
300,54794.5,728.0,西湖,15.0
301,45616.4,333.0,西湖,42.0
302,40705.6,360.0,西湖,3.0
303,37098.1,450.0,西湖,96.0
304,53345.7,460.0,西湖,75.0
305,59259.3,320.0,西湖,32.0
306,50561.8,450.0,西湖,12.0
307,31767.1,215.0,西湖,81.0
308,43239.6,260.0,西湖,17.0
309,39930.6,230.0,西湖,9.0
310,65037,580.0,西湖,10.0
311,37786.2,340.0,西湖,12.0
312,51141.6,168.0,西湖,9.0
313,31972.8,470.0,西湖,6.0
314,60150.4,400.0,西湖,16.0
315,21098.5,300.0,西湖,27.0
316,47688.9,325.0,西湖,54.0
317,57110.9,510.0,西湖,31.0
318,70075,355.0,西湖,15.0
319,44222.3,230.0,西湖,11.0
320,59316.9,1075.0,西湖,19.0
321,28841.5,180.0,西湖,59.0
322,37890.6,485.0,西湖,5.0
323,37132.8,560.0,西湖,173.0
324,37583.9,560.0,西湖,2.0
325,74246.9,350.0,西湖,11.0
326,44636.9,598.0,西湖,48.0
327,60595.9,360.0,西湖,21.0
328,38977,285.0,西湖,36.0
329,35129.5,251.0,西湖,4.0
330,40211.4,175.0,西湖,19.0
331,41565.1,580.0,西湖,14.0
332,30174.5,185.0,西湖,74.0
333,35071.3,300.0,西湖,30.0
334,30000,480.0,西湖,19.0
335,80000,1280.0,西湖,25.0
336,40847.7,239.0,西湖,107.0
337,29461.8,260.0,西湖,85.0
338,50561.8,450.0,西湖,5.0
339,49892.9,1025.0,西湖,5.0
340,55074.7,280.0,西湖,5.0
341,20000,130.0,西湖,67.0
342,62995.6,850.0,西湖,6.0
343,51300.2,290.0,西湖,21.0
344,39902,570.0,西湖,16.0
345,42266.4,370.0,西湖,6.0
346,44642.9,750.0,西湖,30.0
347,16542.3,82.0,西湖,75.0
348,56896.6,660.0,西湖,6.0
349,60975.6,710.0,西湖,6.0
350,33741.8,190.0,西湖,137.0
351,60896,420.0,西湖,42.0
352,38199.7,275.0,西湖,23.0
353,108108,2000.0,西湖,16.0
354,55084.7,650.0,西湖,6.0
355,27903.2,173.0,西湖,5.0
356,78677.3,690.0,西湖,16.0
357,36237,255.0,西湖,80.0
358,45556.3,570.0,西湖,44.0
359,49782.8,550.0,西湖,46.0
360,51396.6,138.0,西湖,48.0
361,40270.6,250.0,西湖,18.0
362,40904.2,190.0,西湖,19.0
363,38848.9,540.0,西湖,8.0
364,74890.8,343.0,西湖,14.0
365,37415.7,333.0,西湖,22.0
366,38636.4,170.0,西湖,7.0
367,40478.7,345.0,西湖,31.0
368,55618,495.0,西湖,51.0
369,47009.3,268.0,西湖,17.0
370,35825.3,265.0,西湖,30.0
371,46632.7,430.0,西湖,1.0
372,10940.9,40.0,西湖,41.0
373,45955.1,409.0,西湖,11.0
374,28142.3,178.0,西湖,10.0
375,71294.6,418.0,西湖,19.0
376,31665.9,395.0,西湖,9.0
377,42289.3,450.0,西湖,241.0
378,44259.7,165.0,西湖,6.0
379,24595.5,380.0,西湖,7.0
380,39087.9,300.0,西湖,6.0
381,43731.8,600.0,西湖,16.0
382,55225.7,1200.0,西湖,9.0
383,50579.7,650.0,西湖,13.0
384,45280.9,403.0,西湖,20.0
385,47752.8,425.0,西湖,6.0
386,35898.7,285.0,西湖,12.0
387,22063.5,210.0,西湖,2.0
388,32471.4,275.0,西湖,96.0
389,40859.7,365.0,西湖,13.0
390,20575.3,108.0,西湖,1.0
391,37977.5,338.0,西湖,16.0
392,72969,450.0,西湖,24.0
393,34676.6,290.0,西湖,69.0
394,78858.7,1100.0,西湖,11.0
